Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"14 W COLD-SPRING LN PS BALTIMORE MD 21210"
"Account Number",5522061000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732483-1,2024-01-04,13:15,29.07,kWh
"Electric Usage",G159732483-1,2024-01-04,13:30,28.47,kWh
"Electric Usage",G159732483-1,2024-01-04,13:45,29.52,kWh
"Electric Usage",G159732483-1,2024-01-04,14:00,28.56,kWh
"Electric Usage",G159732483-1,2024-01-04,14:15,29.79,kWh
"Electric Usage",G159732483-1,2024-01-04,14:30,29.16,kWh
"Electric Usage",G159732483-1,2024-01-04,14:45,29.1,kWh
"Electric Usage",G159732483-1,2024-01-04,15:00,28.98,kWh
"Electric Usage",G159732483-1,2024-01-04,15:15,27.93,kWh
"Electric Usage",G159732483-1,2024-01-04,15:30,28.77,kWh
"Electric Usage",G159732483-1,2024-01-04,15:45,28.86,kWh
"Electric Usage",G159732483-1,2024-01-04,16:00,28.47,kWh
"Electric Usage",G159732483-1,2024-01-04,16:15,28.59,kWh
"Electric Usage",G159732483-1,2024-01-04,16:30,29.4,kWh
"Electric Usage",G159732483-1,2024-01-04,16:45,29.31,kWh
"Electric Usage",G159732483-1,2024-01-04,17:00,30.21,kWh
"Electric Usage",G159732483-1,2024-01-04,17:15,29.37,kWh
"Electric Usage",G159732483-1,2024-01-04,17:30,29.91,kWh
"Electric Usage",G159732483-1,2024-01-04,17:45,30.63,kWh
"Electric Usage",G159732483-1,2024-01-04,18:00,30.27,kWh
"Electric Usage",G159732483-1,2024-01-04,18:15,31.14,kWh
"Electric Usage",G159732483-1,2024-01-04,18:30,30.81,kWh
"Electric Usage",G159732483-1,2024-01-04,18:45,30.87,kWh
"Electric Usage",G159732483-1,2024-01-04,19:00,30.15,kWh
"Electric Usage",G159732483-1,2024-01-04,19:15,30.18,kWh
"Electric Usage",G159732483-1,2024-01-04,19:30,30.72,kWh
"Electric Usage",G159732483-1,2024-01-04,19:45,30.42,kWh
"Electric Usage",G159732483-1,2024-01-04,20:00,31.14,kWh
"Electric Usage",G159732483-1,2024-01-04,20:15,30.99,kWh
"Electric Usage",G159732483-1,2024-01-04,20:30,30.87,kWh
"Electric Usage",G159732483-1,2024-01-04,20:45,31.32,kWh
"Electric Usage",G159732483-1,2024-01-04,21:00,30.3,kWh
"Electric Usage",G159732483-1,2024-01-04,21:15,30.96,kWh
"Electric Usage",G159732483-1,2024-01-04,21:30,30.66,kWh
"Electric Usage",G159732483-1,2024-01-04,21:45,31.02,kWh
"Electric Usage",G159732483-1,2024-01-04,22:00,30.75,kWh
"Electric Usage",G159732483-1,2024-01-04,22:15,30.84,kWh
"Electric Usage",G159732483-1,2024-01-04,22:30,30.81,kWh
"Electric Usage",G159732483-1,2024-01-04,22:45,30.24,kWh
"Electric Usage",G159732483-1,2024-01-04,23:00,30.42,kWh
"Electric Usage",G159732483-1,2024-01-04,23:15,30.39,kWh
"Electric Usage",G159732483-1,2024-01-04,23:30,29.79,kWh
"Electric Usage",G159732483-1,2024-01-04,23:45,30.24,kWh
"Electric Usage",G159732483-1,2024-01-05,00:00,30.09,kWh
"Electric Usage",G159732483-1,2024-01-05,00:15,29.91,kWh
"Electric Usage",G159732483-1,2024-01-05,00:30,29.7,kWh
"Electric Usage",G159732483-1,2024-01-05,00:45,30.51,kWh
"Electric Usage",G159732483-1,2024-01-05,01:00,30.03,kWh
"Electric Usage",G159732483-1,2024-01-05,01:15,29.91,kWh
"Electric Usage",G159732483-1,2024-01-05,01:30,29.37,kWh
"Electric Usage",G159732483-1,2024-01-05,01:45,30.24,kWh
"Electric Usage",G159732483-1,2024-01-05,02:00,29.43,kWh
"Electric Usage",G159732483-1,2024-01-05,02:15,30.06,kWh
"Electric Usage",G159732483-1,2024-01-05,02:30,29.58,kWh
"Electric Usage",G159732483-1,2024-01-05,02:45,29.25,kWh
