Name,"LOYOLA UNIVERSITY MARYLAND, INC."
Address,"4501 N CHARLES ST BLDG A BALTIMORE MD 21210"
"Account Number",6959340000

Type,Meter,Date,"Start Time",Usage,"Usage Unit"
"Electric Usage",G159732081-1,2024-01-04,01:00,35.52,kWh
"Electric Usage",G159732081-1,2024-01-04,01:15,36.18,kWh
"Electric Usage",G159732081-1,2024-01-04,01:30,37.25,kWh
"Electric Usage",G159732081-1,2024-01-04,01:45,35.33,kWh
"Electric Usage",G159732081-1,2024-01-04,02:00,36.69,kWh
"Electric Usage",G159732081-1,2024-01-04,02:15,35.79,kWh
"Electric Usage",G159732081-1,2024-01-04,02:30,35.23,kWh
"Electric Usage",G159732081-1,2024-01-04,02:45,36.66,kWh
"Electric Usage",G159732081-1,2024-01-04,03:00,36.06,kWh
"Electric Usage",G159732081-1,2024-01-04,03:15,36.13,kWh
"Electric Usage",G159732081-1,2024-01-04,03:30,35.55,kWh
"Electric Usage",G159732081-1,2024-01-04,03:45,36.4,kWh
"Electric Usage",G159732081-1,2024-01-04,04:00,35.97,kWh
"Electric Usage",G159732081-1,2024-01-04,04:15,36.22,kWh
"Electric Usage",G159732081-1,2024-01-04,04:30,36.05,kWh
"Electric Usage",G159732081-1,2024-01-04,04:45,36.33,kWh
"Electric Usage",G159732081-1,2024-01-04,05:00,35.75,kWh
"Electric Usage",G159732081-1,2024-01-04,05:15,36.37,kWh
"Electric Usage",G159732081-1,2024-01-04,05:30,36.63,kWh
"Electric Usage",G159732081-1,2024-01-04,05:45,36.4,kWh
"Electric Usage",G159732081-1,2024-01-04,06:00,36.36,kWh
"Electric Usage",G159732081-1,2024-01-04,06:15,36.73,kWh
"Electric Usage",G159732081-1,2024-01-04,06:30,36.35,kWh
"Electric Usage",G159732081-1,2024-01-04,06:45,34.81,kWh
"Electric Usage",G159732081-1,2024-01-04,07:00,36.49,kWh
"Electric Usage",G159732081-1,2024-01-04,07:15,36.6,kWh
"Electric Usage",G159732081-1,2024-01-04,07:30,36.49,kWh
"Electric Usage",G159732081-1,2024-01-04,07:45,36.01,kWh
"Electric Usage",G159732081-1,2024-01-04,08:00,36.7,kWh
"Electric Usage",G159732081-1,2024-01-04,08:15,36.82,kWh
"Electric Usage",G159732081-1,2024-01-04,08:30,35.67,kWh
"Electric Usage",G159732081-1,2024-01-04,08:45,37.73,kWh
"Electric Usage",G159732081-1,2024-01-04,09:00,36.11,kWh
"Electric Usage",G159732081-1,2024-01-04,09:15,36.28,kWh
"Electric Usage",G159732081-1,2024-01-04,09:30,36.79,kWh
"Electric Usage",G159732081-1,2024-01-04,09:45,36.48,kWh
"Electric Usage",G159732081-1,2024-01-04,10:00,36.58,kWh
"Electric Usage",G159732081-1,2024-01-04,10:15,36.42,kWh
"Electric Usage",G159732081-1,2024-01-04,10:30,36.92,kWh
"Electric Usage",G159732081-1,2024-01-04,10:45,35.6,kWh
"Electric Usage",G159732081-1,2024-01-04,11:00,35.04,kWh
"Electric Usage",G159732081-1,2024-01-04,11:15,35.31,kWh
"Electric Usage",G159732081-1,2024-01-04,11:30,35.28,kWh
"Electric Usage",G159732081-1,2024-01-04,11:45,35.81,kWh
"Electric Usage",G159732081-1,2024-01-04,12:00,34.92,kWh
"Electric Usage",G159732081-1,2024-01-04,12:15,36.09,kWh
"Electric Usage",G159732081-1,2024-01-04,12:30,34.82,kWh
"Electric Usage",G159732081-1,2024-01-04,12:45,35.55,kWh
"Electric Usage",G159732081-1,2024-01-04,13:00,35.19,kWh
"Electric Usage",G159732081-1,2024-01-04,13:15,36.67,kWh
"Electric Usage",G159732081-1,2024-01-04,13:30,35.14,kWh
"Electric Usage",G159732081-1,2024-01-04,13:45,35.77,kWh
"Electric Usage",G159732081-1,2024-01-04,14:00,35.92,kWh
"Electric Usage",G159732081-1,2024-01-04,14:15,34.44,kWh
"Electric Usage",G159732081-1,2024-01-04,14:30,36.37,kWh
"Electric Usage",G159732081-1,2024-01-04,14:45,35.49,kWh
